iterations,% train,% correct
5000,25,0.0
5000,50,0.0
5000,70,0.0
5000,90,0.0
5000,100,0.0
10000,25,0.0
10000,50,0.01834862385321101
10000,70,0.030534351145038167
10000,90,0.022727272727272728
10000,100,0.0
25000,25,0.0764525993883792
25000,50,0.22935779816513763
25000,70,0.16030534351145037
25000,90,0.13636363636363635
25000,100,0.04597701149425287
50000,25,0.04281345565749235
50000,50,0.06422018348623854
50000,70,0.04580152671755725
50000,90,0.22727272727272727
50000,100,0.17011494252873563
100000,25,0.20489296636085627
100000,50,0.47706422018348627
100000,70,0.31297709923664124
100000,90,0.022727272727272728
100000,100,0.3057471264367816
250000,25,0.3302752293577982
250000,50,0.3394495412844037
250000,70,0.2595419847328244
250000,90,0.29545454545454547
250000,100,0.3425287356321839
