iterations,% train,% correct
5000,25,0.8103975535168195
5000,50,0.28440366972477066
5000,70,0.09923664122137404
5000,90,0.13636363636363635
5000,100,0.041379310344827586
10000,25,0.8776758409785933
10000,50,0.8348623853211009
10000,70,0.6335877862595419
10000,90,0.36363636363636365
10000,100,0.2367816091954023
25000,25,0.8990825688073395
25000,50,0.8990825688073395
25000,70,0.8778625954198473
25000,90,0.8409090909090909
25000,100,0.7793103448275862
50000,25,0.8929663608562691
50000,50,0.9220183486238532
50000,70,0.8854961832061069
50000,90,0.8863636363636364
50000,100,0.9977011494252873
100000,25,0.8929663608562691
100000,50,0.908256880733945
100000,70,0.9007633587786259
100000,90,0.9545454545454546
100000,100,1.0
250000,25,0.9051987767584098
250000,50,0.8944954128440367
250000,70,0.8931297709923665
250000,90,0.9545454545454546
250000,100,1.0
