iterations,% train,% correct
5000,25,0.0
5000,50,0.0
5000,70,0.0
5000,90,0.0
5000,100,0.0
10000,25,0.0
10000,50,0.0
10000,70,0.0
10000,90,0.0
10000,100,0.006896551724137931
25000,25,0.8562691131498471
25000,50,0.7935779816513762
25000,70,0.6641221374045801
25000,90,0.6136363636363636
25000,100,0.4482758620689655
50000,25,0.8960244648318043
50000,50,0.8944954128440367
50000,70,0.9083969465648855
50000,90,0.8863636363636364
50000,100,0.6804597701149425
100000,25,0.9051987767584098
100000,50,0.8944954128440367
100000,70,0.8778625954198473
100000,90,0.9090909090909091
100000,100,1.0
250000,25,0.8990825688073395
250000,50,0.8853211009174312
250000,70,0.8778625954198473
250000,90,0.8863636363636364
250000,100,1.0
